도서코드,도서명,저자이름,역자이름,출판사,발행년도,도서가격,대여가능여부,총대여횟수,도서이미지,대분류번호,중분류번호,등록일자,폐기여부,도서이미지경로
0501.020-1,질병 정복의 꿈| 바이오 사이언스,이성규,,94,2019.01.30,15000,0,0,,5,1,2020.01.22,0,질병 정복의 꿈 바이오 사이언스.jpg
0502.001-1,코스모스,칼 세이건,홍승수,82,2010.01.20,18500,1,2,,5,2,2019.07.15,0,코스모스.jpg
0502.002-1,우리는 모두 별에서 왔다,윤성철,,95,2020.01.29,17000,0,1,,5,2,2020.01.29,0,우리는 모두 별에서 왔다.jpg
0502.003-1,청소년을 위한 코스모스,에마뉘엘 보두엥| 카트린 에벙 보두엥,홍은주,96,2016.07.04,15000,0,1,,5,2,2020.01.29,0,청소년을 위한 코스모스.jpg
0502.004-1,천문학 사전,후타미세 도시후미| 나카무라 도시히로,조민정,97,2018.10.25,18000,0,1,,5,2,2020.01.29,0,천문학 사전.jpg
0502.005-1,시간의 역사,스티븐 호킹,김동광,91,1998.05.15,23000,1,2,,5,2,2020.01.29,0,시간의 역사.jpg
0502.006-1,웰컴 투 더 유니버스,닐 디그래스 타이슨 외,이강환,66,2019.09.30,38000,0,1,,5,2,2020.01.29,0,웰컴 투 더 유니버스.jpg
0502.007-1,천문학 및 천제물리학,Michael Zeilik | Stephen A. Gregory ,강혜정 외,62,2015.02.09,39000,0,1,,5,2,2020.01.29,0,천문학 및 천제물리학.jpg
0502.008-1,날마다 천체 물리,닐 디그래스 타이슨,홍승수,82,2018.02.28,12500,0,0,,5,2,2020.01.29,0,날마다 천체 물리.jpg
0502.009-1,재밌어서 밤새 읽는 천문학 이야기,아가타 히데히코,박재영,80,2018.12.10,12000,0,0,,5,2,2020.01.29,0,재밌어서 밤새 읽는 천문학 이야기.jpg
0502.010-1,과학책은 처음입니다만,이정모,,98,2019.04.10,17000,0,0,,5,2,2020.01.29,0,과학책은 처음입니다만.jpg
0502.011-1,남극점에서 본 우주,김준한| 강재환,,6,2019.11.25,16000,0,0,,5,2,2020.01.29,0,남극점에서 본 우주.jpg
0502.012-1,명왕성 연대기,닐 디그래스 타이슨,김유제,82,2019.08.24,16500,0,0,,5,2,2020.01.29,0,명왕성 연대기.jpg
0502.013-1,14살에 시작하는 처음 천문학,곽영직,,99,2019.07.04,14000,0,0,,5,2,2020.01.29,0,14살에 시작하는 처음 천문학.jpg
0502.014-1,심심할 때 우주 한 조각,콜린 스튜어트,허성심,100,2019.06.25,15800,1,1,,5,2,2020.01.29,0,심심할 때 우주 한 조각.jpg
0502.015-1,침묵하는 우주,폴 데이비스,문홍규| 이명헌,82,2019.04.30,22000,0,0,,5,2,2020.01.29,0,침묵하는 우주.jpg
